NUMBER|PROTO|PRNUM|MEANING|ABK|ABA|ADG|KAB|UBK|COMMENT
348|*χʷǝχʷǝ (~*χˊʷ, *qʷ)|1195|pigeon|a-ħʷǝˊħʷ|ħʷǝħʷ||||    PAT \I*ħʷǝħʷǝ.\i The comparison with PAK \I*tħar(ǝ)q:ʷa\i 'pigeon' (Shakryl 1968, 48-49) is untenable.
349|*ṭǝ / *t:ǝ|1196|1 owl 2 eagle-owl|a-ṭǝˊ 1|ṭǝ 1|tǝ-ʁʷrǝʁʷǝ 2|dǝ-ʁʷrǝʁʷ 2||    PAT \I*ṭǝ;\i PAK \I*t:ǝ-ʁʷrǝʁʷǝˊ.\i Despite the irregularity (ṭ : t:) the comparison of PAT and PAK is quite probable (see Шагиров 1, 154), especially because in Abkh there also exists a compound \Ia-ṭǝˊ-ʕʷarʕʷar\i 'eagle-owl' ( = PAK \I*t:ǝ-ʁʷrǝʁʷǝˊ\i); etymology of the second part see under \I*ʁʷVrǝʁʷǝ.\i     Ub. \Itǝʁʷrǝʁʷ\i 'owl', because of its t-, is probably not genuinely related, but borrowed from Adygh. However, despite Abdokov (1983, 122), Ub. \Idǝma\i 'hen'  is hardly related.
350|*nVb(ǝ)ʁˊʷV|1197|quail|||nǝbʁʷǝ|nǝbʁʷa|nabʁˊaˊ|    PAK \I*nǝbʁʷVˊ.\i Ub. \Inabʁˊaˊ\i (in Dirr's notation) is genuinely related to PAK, whereas the later form recorded by Vogt - \Inǝbʁaˊ\i - is probably a later loan from Ad. See Abdokov 1973, 61, Shagirov 1, 284.
351|*q:arawǝ|1203|1 crane 2 swan|||q:araw 1|q:ǝruw 1|qaraˊw 2|    PAK \I*q:araˊwǝ\i / \I*q:ǝrǝˊwǝ.\i The Ub. form may be an Ad. loan (although nothing contradicts its genuineness, too). Dumeˊzil (1963,18) is correct in assuming that the Abaz. forms (Ashkh. \Iq̇ru\i etc.) are borrowed from Kabardian.
352|*p-šaχʷa ( ~ -s-)|176|spider|||||psaˊχʷa|    Isolated in Ub., but having probable EC parallels.
353|*q:ʷaq:ʷa (~ *q̇ʷ)|1204|frog|||ħanṭar-q:ʷ|ħandǝr-q:ʷāq:ʷa||    PAK \I*ħanṭVr-q:ʷaˊq:ʷa\i (with reduction of the second part in Ad.). Etymology of the first part of the compound is not quite clear (cf. PAT \I*ada\i 'frog' > Abkh. \Iaˊda-ʁˊ,\i Abaz. \Iada\i (?); or Chech. \Iünṭa-\i in \Iünṭa-pħid\i 'tortoise' (?)).
354|*žˊʷǝ|122|old|aˊ-ž̌|a-žʷǝ|zˊǝ|zˊǝ|žʷǝ|    PAT \I*žʷǝ\i (cf. also Bzyb. \Iaˊ-ž̌\i); PAK \I*zˊǝ.\i
355|*č̣VšʷV|1202|swallow|aˊ-ž̌c̣ǝ-s|žʷc̣ǝ|ṗc̣āšχʷ|ṗc̣āšχʷa|c̣ǝˊšχa|    PAT \I*zʷǝc̣ˊǝ\i (cf. Bz. \Iaˊ-zˊ̌c̣ˊ\i); PAK \I*ṗc̣aˊšχʷa.\i A complicated case. If we assume a metathesis and secondary voicing in PAT (\I*zʷǝc̣ˊǝ\i < \I*c̣ˊǝsʷǝ\i), the PAT form can be compared to PAK \I*ṗc̣aš-\i and Ub. \Ic̣ǝš-,\i yielding the reconstruction \I*č̣VšʷV.\i *-χʷa in PAK and -χa in Ub. can be considered as a second element of compound (meaning probably "grey").     See Abdokov 1973, 65. Since the PAK form can hardly be separated from Ub. and PAT, the inner analysis of PAK \I*ṗc̣aˊšχʷa\i as "black, dark" + "blue" (see Shagirov 2, 50) seems to be a folk etymology.
356|*dǝwa|1211|leech|||dǝwa|psǝ-dǝwa|dǝwaˊ|    PAK \I*dǝwaˊ.\i Shagirov's etymology (\I*dǝ\i 'vein' /see \I*t:a,\i not attested in AK; we would rather expect PAK \I*t:a/\i + \I*wa\i 'to beat'; see Shagirov 1, 157) seems hardly plausible. Therefore, the Ub. word may be regarded as genetically related to PAK \I*dǝwaˊ\i (there are no phonetic contradictions for postulating a common WC sourceform).
357|*ʒˊǝ|1216|1 flea 2 bee|aˊ-ʒ 1||bžǝ-ʒa 1|bžǝ-ʒa 1|ʒˊaʒˊ 2|    PAT \I*ʒˊǝ\i (cf. Bz. \Iaˊ-ʒˊ\i); PAK \I*bžǝ-ʒaˊ\i (etymology of \I*bžǝ-\i see under PNC \I*bēlǯwi\i). The Ub. form is reduplicated.     See Rogava 1956, 13 (listing, however, also Kab. \Ibāʒa\i 'fly' which has nothing to do with this root); Shagirov 1, 91.
358|*pǝ˜χʷǝ|127|1 carrot 2 maize stalk|aˊ-pħʷ (Bzyb.) 2||pχǝ 1|pχǝ 1|mǝχǝˊ 2|    The PAK form \I*pχǝ\i corresponds very well to Abkh. and Ub. (semantically: *'root' > a) '(maize) stalk'; b) 'carrot'). The comparison with Abaz. \Išʷχǝ\i 'carrot' (Shagirov 2,24) is phonetically impossible. Adygh > Osset. \Iäpχä\i 'carrot' (see Abayev 1, 171).     Variations in labialisation (*χʷ / *χ) are explained by dissimilation to the initial labial consonant.
359|*ǯʷǝ|128|to vomit|a-ʒˊ̌a-raˊ|ǯʷa-ra|q:a-žǝ-,ža-wa-|q:a-zˊǝ-|ǯǝ-|    PAT \I*ʒʷa-;\i PAK \I*žǝ-/*ža-\i (with a preverb \I*q:a-žǝ-\i); Ub. \Isǝ-ǯǝˊ-n.\i See Dumeˊzil 1932, 217, Shagirov 1, 222.
360|*bV˜ʒˊV|1219|fly|aˊ-mc̣|čʷǝ-nc̣ǝ|bāʒa|bāʒa|ba(n)ʒˊǝˊ|    PAT \I*mǝc̣ˊǝ\i (cf. Bz. \Iaˊ-mc̣ˊ;\i the Abaz. form originally meant 'gadfly' /lit. "ox"+"fly", cf. Abkh. Bz. \Iaˊ-cˊ̌-mǝc̣ˊ\i 'gadfly'); PAK \I*baʒaˊ.\i Glottalisation in PAT is secondary (probably, under the influence of \I*mac̣a\i 'locust, grasshopper' q.v.).     The dissolution of the AK root and its derivation from PWC \I*ʒˊǝ\i 'flea, fly' q.v. (Rogava 1956, 13-14) is untenable.     WC > Osset. \Ibǝnʒ\i / \Ibinʒä\i 'fly' (despite Trubetzkoy 1921, 249, who suggested the opposite direction of loan; Dumeˊzil (1963,15) argued correctly with Trubetzkoy, but his reference to the root's expressive nature is not quite appropriate, since the Osset. and WC roots are specifically close to each other. Other etymologies of the Osset. word (see Abayev 1958, 280) are unsuccessful.
361|*q̇anǝč̣ˊǝ|1223|silkworm|a-q̇aˊnč̣ˊ|||||    Attested only in Abkh., but with possible EC correlates.
362|*mac̣a|1224|locust|a-maˊc̣a|mac̣a|māc̣|māc̣a|māc̣aˊ|    PAT \I*mac̣a;\i PAK \I*maˊc̣a.\i The inner analysis of PAK \I*maˊc̣a\i and relating \I*-c̣a\i to PWC \I*c̣ˊa\i 'louse' q.v. (see Yakovlev 1948, 273, 292; 1941, 260; Rogava 1956,26; Kuipers 1960, 92; Shagirov 1977, 262) is absolutely unacceptable. Therefore there is no need to consider the Ub. and PAT forms as Adygh loans - all forms correspond perfectly well to each other.
363|*ŁʷV|135|to enter|a-taˊ-la-|našǝ-l-|jǝ-ħā-|jǝ-ħa-|-wǝ-|    PAT \I*-la-/-lǝ-\i 'to go, move, enter' (used only with preverbs); PAK \I*-ħa-\i (also with preverbs). Ub. is the only language having a preverbless paradigm (\Isǝ-wǝˊ-n\i "I enter"). The correspondence PAT *l : PAK *ħ : Ub. w reflects a labialised lateral *Łʷ.     See Trubetzkoy 1930, 278; Shagirov 1, 188.
364|*t:ama|592|wing, shoulder|||tāma|dāma||    PAK \I*t:amaˊ.\i Attempts of inner morphological analysis of the form (see Shagirov 1, 142) are not convincing.
365|*c̣ˊǝʒʷǝ|1234|1 nit 2 flea 3 beetle, bug|a-c̣ǝˊʒ 1|c̣ǝʒ 2|c̣ǝžǝ 3|c̣ǝv 3||    PAT \I*c̣ˊǝʒˊǝ\i (cf. also Bzyb. \Ia-c̣ˊǝˊʒˊ\i 'nit'); PAK \Ic̣ǝzʷǝˊ\i (cf. also Ad. Tem. \Ic̣ǝžǝ\i 'a k. of fly'). Kab. > Abaz. \Ic̣ǝžʷ\i 'maggot of a gadfly'. In PAT we should expect *-ʒʷ-; there probably occurred an assimilation \I*c̣ˊǝʒʷǝ\i > \I*c̣ˊǝʒˊǝ.\i
366|*q:amǝʒa-|1236|1 ant 2 ant-hill|||q:āmzagʷ 1|q:ānʒagʷ 2||    PAK \I*q:amʒaˊ-gʷǝ\i (*-gʷǝ is probably 'middle, location').
367|*raš:ʷǝ|496|a k. of elm (Ulmus campestris)|aˊ-raš|||||    Isolated in Abkh., but having probable EC parallels.
368|*nǝx(ʷ)ǝ|607|asp|||nǝxǝ, nǝxā-j|||    Attested only in Ad., but having probable EC parallels.
369|*χˊʷV|142|to grow; to multiply|a-z-ħa-raˊ|z-ħa-ra|xa-χʷǝ-|xa-χʷǝ-|χˊa-χˊǝˊ-|    PAT \I*ħa-\i (with preverbs); PAK \I*χʷǝ-\i (with the preverb *xa-). In PAT, from the same root is derived the adjective \I*ħa-raḳǝ\i 'high, tall' (Abkh. \Iaˊ-ħaraḳ,\i Abaz. \Iħaraḳǝ\i). In PAK the verb has acquired also a more general meaning ('to  grow' > 'to become').     See Shagirov 2, 113.
370|*mazˊV|1241|1 pine-tree 2 prickle, thorn 3 forest|a-mzaˊ 1|mza-ʕʷ 1|mazǝ 3|maz 3|mǝʒˊǝˊ 2|    PAT \I*mǝza\i (cf. also Bzyb. \Ia-mzaˊ\i); PAK \I*mazǝˊ;\i Ub. def. \Ia-mǝʒˊǝˊ\i / \Ia-mǝˊʒˊ.\i
371|*c:ac:a|1244|spit|||cāca|ʒāsa|caca|    PAK \I*c:ac:aˊ\i ( ~ \I*c:asaˊ\i). Shagirov's (1, 164) morphological analysis of this word is probably faulty: if it really meant "lance for grilling", the PAK form would be *sasaˊ (cf. PAK \I*sǝ-\i 'burn' and \I*sa\i 'knife, lance'). This analysis is also not supported by another meaning of the word, "table fork" (in Ad., Mozdok dialect of Kab.). We can, however, suppose a secondary influence of the root \I*sa\i on the Kabardian form (one would regularly expect \I*ʒāʒa\i there). External parallels also discredit Kuipers' suggestion about progressive assimilation in Ad. (\Icāca\i < \I*casa\i); it is rather the Kab. form that underwent an innovation.     Ub. \Icaca\i may be a loan from Ad., but - if we do not consider the PAK form a composite - it may as well be genuinely related (the correspondence PAK *c: : Ub. c is regular).
372|*bǝʁˊ(ʷ)V|165|wide|aˊ-t-bā|t-bʕa|bʁʷa|bʁʷa|bʁˊǝ|    PAT \I*tǝ-bǝʕa\i (the meaning of *tǝ- is not clear); PAK \I*bʁʷa.\i Labialisation in PAK can be secondary (as seen from external evidence).     See Shagirov 1,80.
373|*c:ʷǝ|1251|to hew, plane|a-č̌-raˊ|čʷ-ra||||    PAT \I*cʷǝ.\i Cf. also the derivate (reduplicated): \I*cʷǝcʷǝ\i 'shavings, chip', reflected in Abkh. \Ia-čǝˊč,\i Abaz. Ashkh. \Ičʷǝčʷ-χa.\i
374|*mǝLˊa|1257|elm|||||mǝLa-sǝˊ|    Considering the EC parallels (with the meaning 'fruit stone, seed') it  seems possible to compare also Kab. \Ikʷǝ-mǝLa\i 'seed inside a fruit stone,  inside (of a fruit)'.
375|*naq̇ʷa|167|fog|aˊ-naq̇ʷa|||||    Isolated in Abkh., but having probable parallels in EC.
376|*pǝ˜qˊʷa (~p:-,χˊʷ)|1254|wood, timber|-mħa-|mħa-|pχa|pχa|mǝχˊa-|    PAT \I*mǝħa,\i used in compounds (cf. Abkh. \Ia-mħaˊ-č̣\i '(wooden) spoon', \Ia-mħa-bǝsta,\i Bz. \Ia-mħaˊ-p\i 'a wooden shovel with long handle for stirring gruel', Abaz. \Imħa-č̣ʷa\i 'spoon' etc.); the same situation prevails in Ub., cf. Ub. \Imǝχˊā-č̣ˊa\i 'wooden shovel for stirring gruel' (cf. \Iāč̣ˊa\i 'wide and flat'), \Imǝχˊāˊ-c̣ʷ\i 'spoon' ( = Abkh. \Ia-mħaˊč̣\i).     In all three subgroups of WC we have a delabialized uvular (after the initial labial). The labialisation, however, is to be reconstructed - otherwise (in case of PWC *qˊ) Ub. would have qˊ, not χˊ, or (in case of PWC *χˊ), the Adygh languages would have ħ, not χ. We can not distinguish between PWC *qˊʷ and *χˊʷ here because of the Adygh form (the cluster *pχ-, because of a specific development of *q in clusters, can go back to both *pχ- and *pq-).     Additional note: there is an enigmatic form in EC: Kar. \Imiʁaža\i 'wooden spoon'. It resembles Ub. \Imǝχˊāc̣ʷ\i and Abkh. \Ia-mħaˊč̣,\i but it can not correspond to them phonetically (furthermore, we have demonstrated above that the WC forms in question have a complex morphological nature). Perhaps, we deal with an old loanword in Kar.?
377|*Pǝ˜ʁa (~*mǝʁa, -G-)|1259|alder-tree; hornbeam|||||mǝʁa-|    Ub. \Imǝʁa-c̣ʷa\i 'alder-tree', \Imǝʁā-sǝˊ\i 'hornbeam'. The root is attested only in Ub., but has probable EC parallels.
378|*t-xˊʷV|1261|1 beech-tree 2 plane-tree|aˊ-š̌ 1|šʷ-č̣ʷǝ 2|tfajǝ|txʷej||    PAT \I*sʷǝ\i (cf. also Bzyb. \Iaˊ-sˊ̌\i); PAK \I*txʷa-jǝˊ\i (-jǝ - common suffix in names of trees). See Shagirov 2, 75).
379|*Pǝ˜zʷa ( ~ *mǝzʷa)|1262|mulberry tree|a-mž̌aˊ|||||    PAT \I*mǝzʷa\i (cf. also Bzyb. \Ia-mzˊ̌aˊ\i).
380|*lˊa|169|nut, walnut|a-raˊ|ra-sa|da|da|La-q̇ˊaˊ|    PAT \I*ra\i (the Abaz. word means properly "nut-tree", cf. Abkh. \Ia-rasaˊ,\i Bz. \Ia-rasˊaˊ\i 'nut-tree'); PAK \I*da.\i Meaning of the component -q̇ˊa in Ub. is not clear. The correspondence PAT *r : PAK *d : Ub. L points to PWC *lˊ.     See Schmidt 1950, 19, Kuipers 1963, 59, Shagirov 1, 145.
381|*bVc:ʷV|1267|medlar|a-baˊč̌||nā-pca (Shaps.)||brǝcʷ|    The Abkh. form is probably most archaic; not quite clear is the origin of nā- in Shaps. and -r- in Ub. (cf. also Abkh. Bzyb. \Ia-braˊč̌\i). It is also possible that all the WC forms reflect an original form like \I*bVnc:ʷV\i or \I*bVmc:ʷV\i with exceptional preservation of the old medial nasal (cf. external evidence); in this case the Ad. form should be treated as a metathesis ( < \I*banca\i), and the forms with -r- - as a result of denasalisation (-n- > -r-). In any case, the coincidence in Adyghe between \Ināpca\i 'medlar' and \Ināpca\i 'eye-brow' is, of course, purely fortuitous.
382|*qˊʷa|1269|pear|a-ħaˊ|ħa|q:ʷǝzˊǝ|qʷǝzˊ|χˊa|    PAT \I*ħa;\i PAK \I*qʷǝ-zˊǝˊ\i (on the meaning of \I*zˊǝ\i see \I*žˊʷǝ\i). Shagirov (1, 238-239) justly notices that Trubetzkoy (1930, 276) was wrong in separating the Abkh. and Ub. forms and relating them to different EC roots. The correspondence PAT *ħ : PAK *qʷ : Ub. χˊ points regularly to PWC *qˊʷ.     See Meˊszaˊros 1934, 378; Balkarov 1969, 177; Shagirov 1, 238-239.
383|*žˊʷǝ|1270|1 pear 2 wild apple-tree|||q:ʷǝ-zˊǝ 1|qʷǝ-zˊ 1|mIa-šʷǝˊ 2|    PAK \I*qʷǝ-zˊǝ\i (on the first part see under \I*qˊʷa\i). Despite Vogt, Ub. \ImIa-šʷǝˊ\i for obvious semantic reasons can not be a diminutive from \ImIa\i "apple". More probably, the association with the diminutive -šʷǝ is secondary (although it could have been the reason for irregular devoicing *žʷǝ > šʷǝ). An indirect proof that this was the case is Georg. \Imažalo\i 'wild apple-tree', which could have been borrowed from a language like Proto-Ubykh (before the devoicing).
384|*q̇ǝča|1272|peach|||q:ǝca|q:ǝca (dial.)||    PAK \I*q:ǝcaˊ.\i The PAK *q: can go back to PWC *q̇, *q:, *q̇I or *q:I; the PAK *-c- - to *c, *cˊ or *č. Shagirov's etymology (\I*q:ǝ\i 'plum' + \I*cǝ\i 'hair', see Shagirov 1, 229-230) is hardly acceptable, especially in view of the EC evidence.     In the Adygh languages there is a constant interaction of two roots: \I*q:ǝca\i 'peach' and \I*pχʷǝ-\i 'plum' (see \I*pǝqʷV\i). The Shaps. dialect has always \Ipχʷǝ-\i (\Ipχʷǝca\i 'peach', \Ipχʷǝsˊʷṭa\i 'plum'); other dialects tend to have \Iq:ǝ-\i (cf. Ad. \Iq:ǝca\i 'peach', \Iq:ǝṗc̣a\i 'plum').
385|*ṭVmIa|1276|1 peach 2 apricot|a-ṭamaˊ 1|ṭama (Ashkh.) 2|||ṭǝmIaˊ 1|    PAT \I*ṭama.\i The Abkh. form is obviously the source of Georg. \Iaṭami\i 'peach' (whence further Osset. \Iaṭami\i, see Abayev 1958, 82).
386|*mǝrǝgʷǝzˊʷǝ(~k:ʷ,ž)|1277|a sort of plum or peach|a-mǝrgʷǝˊzˊ (Bzyb.)|||||    The word is present only in compounds \Ia-mǝrgʷǝˊzˊ-pħʷa\i 'a sort of plum', \Ia-mǝrgʷǝˊzˊ-ṭama\i 'a sort of peach'. Although found only in Abkh., the root has interesting parallels in EC.
387|*s(ʷ)ana|1278|1 grapes 2 currants|||sāna 1|sāna 2||    PAK \I*sanaˊ.\i
388|*c̣ʷa|1280|apple|a-č̣̌aˊ|č̣ʷa||||    PAT \I*c̣ʷa.\i
389|*ča(n)čǝšˊǝ (~c,šˊ:)|656|lizard|ajnč̌ǝˊš|arcǝš|||ca(n)cǝˊšˊ|    An expressive and very irregular stem (cf. also Abkh. Bz. \Iaʕʷǝˊnč̣̌ǝš,\i \Iajǝnč̣̌ǝš\i); details of its morphological structure and history of transformations are not clear yet, but if the root is \I*ča(n)čǝ-\i (as suggested by the Ub. form), it probably has some parallels in EC languages.
390|*ʒˊa ( ~ ǯ-)|1285|cornel|a-bgǝˊ-ʒara|zarǝˊ|zājǝ|za||    PAT \I*ʒˊa-rV\i (-rV is originally a collective suffix), cf. also the Abzh. variant \Ia-bgǝˊ-ʒǝr,\i Bzyb. \Ia-bgǝˊ-ʒˊar\i (the compound means literally "fox's cornel"); PAK \I*za\i (Ad. reflects only the compound \I*za-jǝˊ,\i where -jǝ is the "tree suffix", = Kab. \Izej\i 'cornel-tree').     Reason for spirantization ʒ > z in Abaz. is not quite clear; perhaps it is due to Adygh influence, although the word as such can not be regarded as an Adygh loan (despite Lomtatidze 1944,209, Kondzharia 1969,8).     The correspondence PAT *ʒˊ : PAT *z points to PWC *ʒˊ or *ǯ.
391|*Łʷasǝ|203|light (of weight)|aˊ-las|lasǝ|||wasǝˊ|    PAT \I*lasǝ.\i The correspondence PAT *l : Ub. w points only to PWC *Łʷ. If the root is *sǝ (see below), one can compare (following Абдоков 1983, 150) *psǝ- in PAK \I*psǝ-nč̣ˊaˊ\i 'light; swift' > Ad. \Ipsǝnč̣a,\i Kab. \Ipsǝnsˊ̣a.\i
392|*bagǝ-na ( ~ -gˊ-)|1294|oats|||bagˊǝna (Shaps.)||bagˊǝˊna|    Despite Shagirov (1, 72) there are no direct reasons for considering the Ub. form a Shapsug loan. Correspondences are quite regular.
393|*k:ʷač:ǝ ( ~ -c:-)|1295|wheat|||kʷacǝ|gʷaʒ||    PAK \I*k:ʷac:ǝˊ.\i An obvious loan from WC is Svan. \Iḳwecen\i 'wheat'.
394|*pǝšˊǝ ( ~ -šˊ:-)|1300|1 maize, corn 2 millet|aˊ-pš 1||||pšˊǝ 2|
395|*šǝ ( ~ *sˊ-)|622|1 to move, pass 2 to come, reach|-s(ǝ)- 1|-s(ǝ)- 1|na-sǝ-n 2|na-sǝ-n 2||    PAT \I*sˊǝ,\i attested only with preverbs, cf. Abkh. \Iaˊja-s-ra\i 'to pass', \Ia-ḳǝˊl-s-ra\i 'to pass through, crawl through', \Ia-bžˊǝˊ-s-ra\i 'to pass by'; Abaz. \Iḳǝl-s-ra,\i \Ibžˊǝ-s-ra\i id.; Bzyb. \Iāˊ-sˊ-ḳˊa-ra\i 'to move (here), come (here)', \Ia-na-sˊ-ḳˊa-ra\i 'to move (there), get away'. PAK \I*na-sǝ-\i 'come, reach (there)', \I*q:a-sǝ-\i (Ad., Kab. \Iq:a-sǝ-n\i) 'come, reach (here)'.     We must notice that in PAK probably a contamination of two PWC roots took place: on one hand, PAK \I*na-sǝ-\i and \I*q:a-sǝ-\i are exact formal matches of Bzyb. \Ia-na-sˊ-\i and \Iā-sˊ-\i (see above); on the other hand, semantically they also match perfectly Abkh. \Ia-na-ʒa-\i 'to reach (there)' and \Iā-ʒa-\i 'to reach (here)' (see under PWC \I*ʒV\i). The derived postposition PAK \I*-nasǝ\i 'until' is also exactly matching Abkh. \I-nʒa\i and Ub. \I-ōnʒa.\i See Dumeˊzil 1932, 75, 250-251; Shagirov 1, 279-280.
396|*qˊIʷV|1292|1 millet 2 barley|aˊ-χʷʒ 1|qʷʒǝ 2|ħa 2|ħa 2|χʷa 2|    PAK \I*qʷǝ-ʒˊǝ\i (a compound with \I*-ʒˊV\i 'grain'; cf. also Bz. \Iaˊ-χʷʒˊ\i); PAK \I*ħa.\i The correspondence PAT *qʷ : PAK *ħ : Ub. χʷ points to PWC *qˊIʷ.
397|*c̣V|223|to lay eggs|a-c̣a-raˊ|c̣a-ra|č̣ˊa-c̣ǝ-n|č̣a-c̣ǝ-n||    PAT \I*c̣a\i (cf. also Bzyb forms recorded by Marr: \Iaˊ-d-c̣a-ra\i 'to heap, put on top', \Iaˊ-c-c̣a-ra\i 'to add'); PAK \I*ḳa-c̣ǝ-\i (*ḳa 'egg'). The original meaning of the root is 'to put' (or 'to give'): cf. with other preverbs: Abkh. \Iaˊ-kʷ-c̣a-ra,\i Abaz. (\Ijǝ\i)-kʷ-c̣a-ra 'to put'; PAK \I*na-c̣a-\i "to put an eye [ = Russ. положить глаз] > to envy, to aspire" (Ad., Kab. \Inac̣a-n\i).         AK \I*nac̣a-\i > Ub. \Inac̣ǝˊ-\i 'to wait, hope'.
398|*zʷa|254|1 to harrow 2 to plough||žʷžʷa-ra 1|zˊ̌a-n 2|va-n 2|zʷa- 2|    PAK \I*zʷa-;\i Ub. 1 p. \Ia-sǝˊ-zʷa-n.\i Despite Shagirov 1,106 the AK verb has nothing to do with \I*c:ʷǝ\i 'ox'.
399|*ḳaḳa-čˊǝ|1311|flower|a-ḳaḳačˊ|||||    This expressive stem is attested only in Abkh., but has some EC parallels.
400|*χʷǝ ( ~ *χˊʷ,*χIʷ)|1315|1 grass 2 meadow grass||ħʷ-ra 1||χʷǝ-n 2||    The root formally coincides with PWC \I*χIʷV\i 'to graze' (q.v.); this is probably secondary.
401|*pǝč̣ˊa|1318|to weed|||ṗč̣ˊa-|ṗsˊ̣a-||    PAK \I*ṗč̣ˊa-.\i The root is unknown outside the AK area (Klimov's comparison with Abkh. \Ia-bc̣a-ra\i 'to mow' /see Klimov 1967, 299/ should be abandoned for phonetic reasons). Other etymological attempts (see Shagirov 2, 53 with literature) had also been unsuccessful.
402|*ṭa|241|1 few, a little 2 less, smaller|||ṭaḳʷ 1|ṭaḳʷ 1|ṭa 2|    PAK \I*ṭaˊ-ḳʷǝ\i (a compound with an unclear second component; however, it is highly likely that the first part = Ub. \Iṭa\i). AK \Iṭaḳʷ\i > Ub. \Iṭaḳʷ,\i Abaz. \Iṭaḳʷ\i 'few, a little'.
403|*mVGǝ ( ~ *-ɣ-)|1322|1 thorn 2 a k. of thorny bush|aˊ-mʁ 1|mʁǝ 1|||maʁǝˊʁ-mǝʒˊǝ 2|    PAT \I*mǝɣǝ.\i The Ub. reflex is partially reduplicated (\Imaʁǝˊʁ-;\i \Imǝʒˊǝ\i means 'thorn'). The correspondence PAT *ɣ : Ub. ʁ points to PWC *G or *ɣ.
404|*b-ǯˊǝ(-nǝ)|1328|onion|a-ǯˊǝmšˊǝˊ|ǯˊǝmšˊǝ|bžˊǝnǝ|bzˊǝn|žʷamλǝˊ|    The pure stem (with an old suffix *-nǝ) is present in PAK \I*bžˊǝnǝˊ.\i Ub. and PAT (and PAK with the meaning 'garlic') reflect old compounds \I*bǯˊǝnǝ-pǝλˊǝ\i 'red onion' ( = "onion") and \I*bǯˊǝ(nǝ)-λʷǝ\i 'white onion' ( = "garlic") with the following reflexes:         a) \I*bǯˊǝnǝ-pǝλˊǝ\i > PAT \I*ǯˊǝn(ǝ)-pǝšˊǝ\i > \I*ǯˊǝmǝšˊǝ\i (Abkh. \Ia-ǯˊǝmšˊǝˊ,\i Abaz. \Iǯˊǝmšˊǝ\i); Ub. \I*žʷan(ǝ)-pǝλˊǝ\i > \Ižʷamλǝ;\i     b) \I*bǯˊǝ(nǝ)-λʷǝ\i > PAT \I*ǯˊǝ-šǝ\i > (with assimilation) \I*ǯǝšǝ\i (Abkh. \Ia-ǯǝˊš,\i Abaz. \Iǯǝš\i); Ub. \I*žʷa-sʷa\i > (with assimilation) \Ižʷaˊšʷa;\i PAK \I*bžˊǝnǝˊ-xʷǝ\i (Ad. \Ibžˊǝnǝf,\i Kab. \Ibzˊǝnǝxʷ\i).     See Rogava 1956, 16-17, 77-78.     Although it was obviously a folk etymology, already in PWC the root of these compounds was associated with PWC \I*bǯˊV\i 'to fry' (q.v.). Since in Ub. the PWC verb \I*bǯˊV\i was superseded by a reflex of \I*zˊʷV\i 'to roast' (q.v.) > Ub. \Ižʷa-,\i \I*bǯˊV-\i was changed to \Ižʷa-\i also in the name of onion/garlic (which explains the irregular reflex žʷ instead of expected *ǯˊ-).     Not quite clear is the status of the syllable *-nǝ in PWC. Shagirov (1,91) tries to explain it as an instrumental morpheme, thus treating PAK \I*bžˊǝnǝˊ\i as 'smth. to be fried'. However, this *-nǝ is certainly absent in the Ub. and PAT word for 'garlic' (Ub. \Ižʷaˊšʷa,\i PAT \I*ǯǝšǝ\i), and may have been originally just an optional connecting morpheme (possibly an original obl. base marker).
405|*xˊʷa|2233|in favour of, for (smth.) (preverb)|||fa-|xʷa-|χˊa-|    PAK \I*xʷa-.\i
406|*p-q̇ač̣ˊa|1330|reed, cane|||||ṗq̇aˊč̣ˊa|    Attested only in Ub., but having possible external parallels.
407|*mV|1331|smell|||ma|ma|mǝ-saˊ|    PAK \I*ma;\i Ub. def. \Iaˊ-msa.\i The Ub. word is a compound with an unclear second component -sa.
408|*wǝc:ǝ ( ~ -cˊ:-)|433|grass|||wǝcǝ|wǝʒ||    PAK \I*wǝc:ǝˊ.\i
409|*kˊalV|1343|hut|a-kˊaˊla|kˊala|čˊaL|čǝL||    PAT \I*kˊala\i (cf. also Bzyb. \Ia-kˊaˊl\i); PAK \I*kVLǝ.\i Despite Klimov 1968, 294 there are no reasons to consider the AT form an AK loan. WC > Svan. \Iköl,\i \Ikel\i id. (see Klimov ibid.).
410|*ʁˊIʷǝna|1344|house|a-ʕʷnǝˊ|ʕʷna|wǝna|wǝna||    PAT \I*ʕʷǝnV;\i PAK \I*wǝnaˊ.\i It is impossible to compare Ub. \Iʁʷǝnǝ\i 'tree' - both for semantic and phonetic reasons (within the correspondence PAT *ʕʷ : PAK *w < PWC *ʁˊIʷ we would expect w- in Ub.). Unacceptable is Kuipers' attempt (Kuipers 1960) to regard the PAK form as a compound.
411|*ʁʷa|1347|hole, burrow|aˊ-ʕʷa-ra|ʕʷa-ra|ʁʷǝ|ʁʷa|ʁʷa|    PAT \I*ʕʷa-ra\i (a building with a productive suffix -ra; without it cf. Abkh. \Ia-gʷa-ʕʷa\i 'hollow (of a tree)'); PAK \I*ʁʷV.\i
